timesteps,model.is_valid[N/A],model.energy_usage[Sm3/cd],model.energy_usage_cumulative[Sm3 (cd)],model.power[MW (sd)],model.power_cumulative[GWh (cd)],model.co2.rate[t/cd],model.co2.cumulative[t (cd)],model.hydrocarbon_export_rate[Sm3/cd],model.co2.intensity_sm3[kg/Sm3],model.co2.intensity_boe[kg/BOE],model.co2.intensity_yearly_sm3[kg/Sm3],model.co2.intensity_yearly_boe[kg/BOE],Installation A.is_valid[N/A],Installation A.energy_usage[Sm3/cd],Installation A.energy_usage_cumulative[Sm3 (cd)],Installation A.power[MW (sd)],Installation A.power_cumulative[GWh (cd)],Installation A.co2.rate[t/cd],Installation A.co2.cumulative[t (cd)],Installation A.hydrocarbon_export_rate[Sm3/cd],Installation A.co2.intensity_sm3[kg/Sm3],Installation A.co2.intensity_boe[kg/BOE],Installation A.co2.intensity_yearly_sm3[kg/Sm3],Installation A.co2.intensity_yearly_boe[kg/BOE],Installation A.regularity[N/A],Generator set A.is_valid[N/A],Generator set A.energy_usage[Sm3/cd],Generator set A.energy_usage_cumulative[Sm3 (cd)],Generator set A.power[MW (sd)],Generator set A.power_cumulative[GWh (cd)],Generator set A.co2.rate[t/cd],Generator set A.co2.cumulative[t (cd)],Generator set A.power_capacity_margin[MW (sd)],Gas export compressor.is_valid[N/A],Gas export compressor.energy_usage[Sm3/cd],Gas export compressor.energy_usage_cumulative[Sm3 (cd)],Gas export compressor.co2.rate[t/cd],Gas export compressor.co2.cumulative[t (cd)],Gas export compressor.recirculation_loss[MW (sd)],Gas export compressor.rate_exceeds_maximum[N/A],Gas export compressor.outlet_pressure_before_choking[bara],Gas injection compressor.is_valid[N/A],Gas injection compressor.energy_usage[MW (sd)],Gas injection compressor.energy_usage_cumulative[MWd (cd)],Gas injection compressor.power[MW (sd)],Gas injection compressor.power_cumulative[GWh (cd)],Gas injection compressor.recirculation_loss[MW (sd)],Gas injection compressor.rate_exceeds_maximum[N/A],Gas injection compressor.outlet_pressure_before_choking[bara],Produced water reinjection pump.is_valid[N/A],Produced water reinjection pump.energy_usage[MW (sd)],Produced water reinjection pump.energy_usage_cumulative[MWd (cd)],Produced water reinjection pump.power[MW (sd)],Produced water reinjection pump.power_cumulative[GWh (cd)],Produced water reinjection pump.inlet_liquid_rate_m3_per_day[Sm3/sd],Produced water reinjection pump.inlet_pressure_bar[bara],Produced water reinjection pump.outlet_pressure_bar[bara],Produced water reinjection pump.operational_head[J/kg],Base production load.is_valid[N/A],Base production load.energy_usage[MW (sd)],Base production load.energy_usage_cumulative[MWd (cd)],Base production load.power[MW (sd)],Base production load.power_cumulative[GWh (cd)],Flare.is_valid[N/A],Flare.energy_usage[Sm3/cd],Flare.energy_usage_cumulative[Sm3 (cd)],Flare.co2.rate[t/cd],Flare.co2.cumulative[t (cd)],Sea water injection pump.is_valid[N/A],Sea water injection pump.energy_usage[MW (sd)],Sea water injection pump.energy_usage_cumulative[MWd (cd)],Sea water injection pump.power[MW (sd)],Sea water injection pump.power_cumulative[GWh (cd)]
2023-01-01 00:00:00,0,        141180.00000,             0.00000,            11.80000,             0.00000,           309.18420,             0.00000,         25956.04000,nan,nan,            72.97389,            11.60157,0,        141180.00000,             0.00000,            11.80000,             0.00000,           309.18420,             0.00000,         25956.04000,nan,nan,            72.97389,            11.60157,             1.00000,1,         84180.00000,             0.00000,            11.80000,             0.00000,           184.35420,             0.00000,            88.20000,1,         50000.00000,             0.00000,           109.50000,             0.00000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         70147.25000,            10.00000,           200.00000,         18811.88000,1,            11.80000,             0.00000,            11.80000,             0.00000,1,          7000.00000,             0.00000,            15.33000,             0.00000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-02 00:00:00,0,        141180.00000,        141180.00000,            11.80000,             0.28320,           309.18420,           309.18420,         25457.14000,11.91184,1.893774,            72.97389,            11.60157,0,        141180.00000,        141180.00000,            11.80000,             0.28320,           309.18420,           309.18420,         25457.14000,11.91184,1.893774,            72.97389,            11.60157,             1.00000,1,         84180.00000,         84180.00000,            11.80000,             0.28320,           184.35420,           184.35420,            88.20000,1,         50000.00000,         50000.00000,           109.50000,           109.50000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         65031.22000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            11.80000,            11.80000,             0.28320,1,          7000.00000,          7000.00000,            15.33000,            15.33000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-03 00:00:00,0,        141180.00000,        282360.00000,            11.80000,             0.56640,           309.18420,           618.36840,         24798.70000,12.02743,1.912151,            72.97389,            11.60157,0,        141180.00000,        282360.00000,            11.80000,             0.56640,           309.18420,           618.36840,         24798.70000,12.02743,1.912151,            72.97389,            11.60157,             1.00000,1,         84180.00000,        168360.00000,            11.80000,             0.56640,           184.35420,           368.70840,            88.20000,1,         50000.00000,        100000.00000,           109.50000,           219.00000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         60539.36000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            23.60000,            11.80000,             0.56640,1,          7000.00000,         14000.00000,            15.33000,            30.66000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-04 00:00:00,0,        141180.00000,        423540.00000,            11.80000,             0.84960,           309.18420,           927.55260,         23436.96000,12.17071,1.93493,            72.97389,            11.60157,0,        141180.00000,        423540.00000,            11.80000,             0.84960,           309.18420,           927.55260,         23436.96000,12.17071,1.93493,            72.97389,            11.60157,             1.00000,1,         84180.00000,        252540.00000,            11.80000,             0.84960,           184.35420,           553.06260,            88.20000,1,         50000.00000,        150000.00000,           109.50000,           328.50000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         57283.27000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            35.40000,            11.80000,             0.84960,1,          7000.00000,         21000.00000,            15.33000,            45.99000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-05 00:00:00,0,        141180.00000,        564720.00000,            11.80000,             1.13280,           309.18420,          1236.73700,         22118.60000,12.41095,1.973124,            72.97389,            11.60157,0,        141180.00000,        564720.00000,            11.80000,             1.13280,           309.18420,          1236.73700,         22118.60000,12.41095,1.973124,            72.97389,            11.60157,             1.00000,1,         84180.00000,        336720.00000,            11.80000,             1.13280,           184.35420,           737.41680,            88.20000,1,         50000.00000,        200000.00000,           109.50000,           438.00000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         53202.25000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            47.20000,            11.80000,             1.13280,1,          7000.00000,         28000.00000,            15.33000,            61.32000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-06 00:00:00,0,        141180.00000,        705900.00000,            11.80000,             1.41600,           309.18420,          1545.92100,         21342.00000,12.69568,2.018392,            72.97389,            11.60157,0,        141180.00000,        705900.00000,            11.80000,             1.41600,           309.18420,          1545.92100,         21342.00000,12.69568,2.018392,            72.97389,            11.60157,             1.00000,1,         84180.00000,        420900.00000,            11.80000,             1.41600,           184.35420,           921.77100,            88.20000,1,         50000.00000,        250000.00000,           109.50000,           547.50000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         49650.02000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            59.00000,            11.80000,             1.41600,1,          7000.00000,         35000.00000,            15.33000,            76.65000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-07 00:00:00,0,        141180.00000,        847080.00000,            11.80000,             1.69920,           309.18420,          1855.10500,         20810.11000,12.96284,2.060865,            72.97389,            11.60157,0,        141180.00000,        847080.00000,            11.80000,             1.69920,           309.18420,          1855.10500,         20810.11000,12.96284,2.060865,            72.97389,            11.60157,             1.00000,1,         84180.00000,        505080.00000,            11.80000,             1.69920,           184.35420,          1106.12500,            88.20000,1,         50000.00000,        300000.00000,           109.50000,           657.00000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         46698.75000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            70.80000,            11.80000,             1.69920,1,          7000.00000,         42000.00000,            15.33000,            91.98000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-08 00:00:00,0,        141180.00000,        988260.00000,            11.80000,             1.98240,           309.18420,          2164.28900,         20415.75000,13.20336,2.099104,            72.97389,            11.60157,0,        141180.00000,        988260.00000,            11.80000,             1.98240,           309.18420,          2164.28900,         20415.75000,13.20336,2.099104,            72.97389,            11.60157,             1.00000,1,         84180.00000,        589260.00000,            11.80000,             1.98240,           184.35420,          1290.47900,            88.20000,1,         50000.00000,        350000.00000,           109.50000,           766.50000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         44472.32000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            82.60000,            11.80000,             1.98240,1,          7000.00000,         49000.00000,            15.33000,           107.31000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-09 00:00:00,0,        141180.00000,       1129440.00000,            11.80000,             2.26560,           309.18420,          2473.47400,         20104.06000,13.41834,2.133281,            72.97389,            11.60157,0,        141180.00000,       1129440.00000,            11.80000,             2.26560,           309.18420,          2473.47400,         20104.06000,13.41834,2.133281,            72.97389,            11.60157,             1.00000,1,         84180.00000,        673440.00000,            11.80000,             2.26560,           184.35420,          1474.83400,            88.20000,1,         50000.00000,        400000.00000,           109.50000,           876.00000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         42298.43000,            10.00000,           200.00000,         18811.88000,1,            11.80000,            94.40000,            11.80000,             2.26560,1,          7000.00000,         56000.00000,            15.33000,           122.64000,0,             0.00000,             0.00000,             0.00000,             0.00000
2023-01-10 00:00:00,0,        141180.00000,       1270620.00000,            11.80000,             2.54880,           309.18420,          2782.65800,         19690.56000,13.61116,2.163937,            72.97389,            11.60157,0,        141180.00000,       1270620.00000,            11.80000,             2.54880,           309.18420,          2782.65800,         19690.56000,13.61116,2.163937,            72.97389,            11.60157,             1.00000,1,         84180.00000,        757620.00000,            11.80000,             2.54880,           184.35420,          1659.18800,            88.20000,1,         50000.00000,        450000.00000,           109.50000,           985.50000,             0.00000,0,nan,1,             0.00000,             0.00000,             0.00000,             0.00000,             0.00000,0,nan,0,             0.00000,             0.00000,             0.00000,             0.00000,         40023.27000,            10.00000,           200.00000,         18811.88000,1,            11.80000,           106.20000,            11.80000,             2.54880,1,          7000.00000,         63000.00000,            15.33000,           137.97000,0,             0.00000,             0.00000,             0.00000,             0.00000
